collocation,mle_rank,pmi_rank,tscore_rank,dice_rank,ll_rank,rank_av,rank_nor,rank_opt
thủ_thuật y_tế,2439.0,128.0,2439.0,247.0,607.0,1172.0,993.8523744824015,1172.0
đáy chậu,2971.0,1892.0,2969.0,2669.0,2024.0,2505.0,2124.23225092015,2505.0
hố_chậu trái,387.0,1672.0,346.0,146.0,0.0,637.75,637.75,637.75
sợi tuyến,1658.0,614.0,1607.0,1189.0,799.0,1173.4,995.0395701515785,1173.4
khối_u lá,1832.0,502.0,1801.0,1045.0,816.0,1199.2,1016.9178903406962,1199.2
nam hoá,2322.0,490.0,2316.0,1270.0,1215.0,1522.6,1291.1600899205669,1522.6
nội_khoa chung,1658.0,1301.0,1602.0,1277.0,1107.0,1389.0,1177.8677032048256,1389.0
thịt gia_cầm,1265.0,2463.0,1189.0,1356.0,0.0,1568.25,1568.25,1568.25
cảm_giác căng_thẳng,387.0,340.0,379.0,21.0,196.0,264.6,224.3799814744398,264.6
kim_loại hoá_trị,2414.0,2647.0,2399.0,2586.0,1807.0,2370.6,2010.2614666791646,2370.6
hình_ảnh đặc_trưng,1265.0,2186.0,1172.0,1824.0,1130.0,1515.4,1285.0545121933715,1515.4
giá_trị tương_tự,719.0,500.0,610.0,523.0,324.0,535.2,453.8479443882093,535.2
thiểu_năng tuyến_thượng_thận,2854.0,294.0,2851.0,1292.0,1493.0,1756.8,1489.7609654357364,1756.8
hồi tràng,3190.0,2376.0,3189.0,3040.0,2212.0,2801.4,2375.5785340230373,2801.4
rậm tóc,1265.0,341.0,1216.0,705.0,393.0,784.0,664.8295747390808,784.0
chế_phẩm tuyến_giáp,3137.0,638.0,3137.0,2045.0,1978.0,2187.0,1854.569234635676,2187.0
sản tuyến,387.0,192.0,292.0,320.0,119.0,262.0,222.17518951739692,262.0
chuyên_khoa tim_mạch,3040.0,1517.0,3036.0,2412.0,2032.0,2407.4,2041.467752840387,2407.4
loài vật,1433.0,1676.0,1338.0,1438.0,1087.0,1394.4,1182.4468865002225,1394.4
cúm sớm,2178.0,1405.0,2162.0,1173.0,1508.0,1685.2,1429.044386926402,1685.2
sản bẩm_sinh,2676.0,387.0,2676.0,1335.0,1421.0,1699.0,1440.7467442368602,1699.0
nguồn_gốc biểu,2121.0,961.0,2104.0,1334.0,1327.0,1569.4,1330.8463451473388,1569.4
thái_bình dương,1832.0,2315.0,1791.0,1519.0,0.0,1864.25,1864.25,1864.25
cơ_sở bệnh_viện,1891.0,1040.0,1877.0,761.0,1220.0,1357.8,1151.410199720311,1357.8
thiểu_năng cận,3290.0,932.0,3290.0,2496.0,2181.0,2437.8,2067.2468587996573,2437.8
gia đoạn,1122.0,3202.0,965.0,2662.0,0.0,1987.75,1987.75,1987.75
tiền gánh,2966.0,2090.0,2960.0,2696.0,2054.0,2553.2,2165.105701816098,2553.2
vành ổn_định,1433.0,1147.0,1416.0,257.0,987.0,1048.0,888.7007580695877,1048.0
chấn_thương tuỷ_sống,3020.0,1425.0,3017.0,2481.0,2012.0,2391.0,2027.5606035728856,2391.0
phía ngón_út,387.0,1916.0,308.0,288.0,0.0,724.75,724.75,724.75
mụn cơm,1832.0,471.0,1819.0,667.0,800.0,1117.8,947.8909421471232,1117.8
thịt tươi,387.0,817.0,193.0,736.0,380.0,502.6,426.2032452345179,502.6
giập niệu_đạo,1265.0,3023.0,1142.0,2581.0,1355.0,1873.2,1588.4678053587324,1873.2
thông_tin tương_tác,2778.0,2476.0,2770.0,2537.0,0.0,2640.25,2640.25,2640.25
